id,mailto_wave2
2,FALSE
3,TRUE
5,FALSE
7,FALSE
9,TRUE
12,FALSE
13,FALSE
15,FALSE
17,FALSE
19,FALSE
20,FALSE
29,FALSE
34,TRUE
35,TRUE
36,FALSE
38,FALSE
41,FALSE
42,TRUE
43,FALSE
45,TRUE
46,FALSE
47,FALSE
49,FALSE
50,FALSE
55,FALSE
62,FALSE
70,FALSE
72,FALSE
74,FALSE
75,TRUE
80,FALSE
88,FALSE
97,FALSE
98,FALSE
100,TRUE
101,FALSE
108,FALSE
109,TRUE
112,FALSE
115,FALSE
116,FALSE
123,FALSE
125,FALSE
129,FALSE
131,FALSE
132,TRUE
137,FALSE
139,FALSE
140,FALSE
142,FALSE
148,FALSE
149,TRUE
150,TRUE
154,FALSE
155,FALSE
156,FALSE
160,FALSE
164,FALSE
168,TRUE
173,FALSE
176,FALSE
179,TRUE
181,FALSE
182,FALSE
187,FALSE
198,TRUE
199,FALSE
200,FALSE
201,TRUE
206,FALSE
207,FALSE
211,TRUE
218,TRUE
228,FALSE
233,FALSE
239,FALSE
240,FALSE
242,FALSE
247,FALSE
248,FALSE
249,TRUE
256,TRUE
257,FALSE
260,FALSE
261,FALSE
265,FALSE
267,FALSE
270,FALSE
272,FALSE
274,FALSE
276,FALSE
281,FALSE
288,TRUE
293,FALSE
297,FALSE
298,FALSE
304,FALSE
305,FALSE
306,FALSE
307,TRUE
309,FALSE
316,FALSE
318,FALSE
319,FALSE
320,TRUE
323,FALSE
324,TRUE
328,FALSE
331,FALSE
333,FALSE
336,FALSE
338,FALSE
339,FALSE
342,FALSE
348,FALSE
351,FALSE
353,FALSE
355,TRUE
357,FALSE
360,FALSE
362,FALSE
367,TRUE
370,TRUE
383,TRUE
389,TRUE
390,FALSE
392,FALSE
393,FALSE
401,FALSE
407,TRUE
408,FALSE
411,FALSE
412,TRUE
415,FALSE
416,FALSE
417,FALSE
422,TRUE
428,TRUE
430,FALSE
431,FALSE
434,FALSE
437,FALSE
441,FALSE
444,TRUE
447,TRUE
455,FALSE
456,FALSE
458,FALSE
460,FALSE
462,TRUE
465,FALSE
468,FALSE
473,FALSE
476,FALSE
486,FALSE
488,FALSE
494,FALSE
500,FALSE
505,FALSE
507,FALSE
511,FALSE
512,FALSE
515,FALSE
520,FALSE
523,FALSE
526,FALSE
528,FALSE
533,FALSE
539,FALSE
540,FALSE
541,FALSE
543,TRUE
545,TRUE
546,FALSE
549,FALSE
566,FALSE
568,FALSE
570,FALSE
573,FALSE
575,FALSE
576,FALSE
583,FALSE
585,FALSE
587,FALSE
588,FALSE
589,FALSE
590,FALSE
592,TRUE
594,FALSE
602,FALSE
607,FALSE
609,FALSE
618,FALSE
619,TRUE
635,FALSE
636,FALSE
642,FALSE
645,TRUE
648,FALSE
650,FALSE
651,FALSE
656,FALSE
657,FALSE
658,TRUE
660,TRUE
685,TRUE
690,FALSE
691,FALSE
692,TRUE
694,FALSE
696,FALSE
699,FALSE
701,TRUE
705,FALSE
706,FALSE
707,TRUE
708,TRUE
709,FALSE
712,TRUE
718,FALSE
721,FALSE
722,FALSE
727,FALSE
736,FALSE
744,FALSE
748,FALSE
752,TRUE
761,FALSE
763,FALSE
765,FALSE
771,FALSE
772,FALSE
775,FALSE
776,FALSE
783,FALSE
786,FALSE
788,TRUE
789,FALSE
790,FALSE
